Component XY position data,,,,,,
Swallow_IO_SDRAM board,,,,,,
,,,,,,
,,,,,,
Ref,Val,Package,PosX,PosY,Rot,Side
C3,100n,SM0603,17.005,-53.745,180,F.Cu
C5,100n,SM0603,20.65,-42.525,270,F.Cu
C6,10u,SM1206,17.925,-42.35,270,F.Cu
R1,0R39,SM0805,3.535,-16.655,0,F.Cu
R2,0R,SM0805,14.285,-54.705,90,F.Cu
U1,MAX4378T,TSSOP14,20.465,-79.335,180,F.Cu
U2,MAX4378T,TSSOP14,23.275,-20.55,180,F.Cu
U5,74LVC1G00,SOT353,8.655,-12.255,90,F.Cu
U7,2k,YC124-JR,11.585,-12.105,180,F.Cu
U9,74LVC1G02,SOT353,11.565,-15.615,270,F.Cu
U10,DRAM-8MX8X4,TSSOP-54,8.785,-40.945,90,F.Cu
U12,SN74CBTD3306,SO8E,23.725,-35.605,180,F.Cu
